name,position,id
Kasper Schmeichel,GK,53af52f3
Youri Tielemans,MF,56f7a928
Çağlar Söyüncü,DF,21166ff4
James Maddison,"MF,FW",ee38d9c5
Harvey Barnes,"FW,MF",3ea50f67
Daniel Amartey,DF,1a4ef233
Kiernan Dewsbury-Hall,MF,5c74c0f5
Timothy Castagne,DF,197640fd
Luke Thomas,DF,fc027d02
Jamie Vardy,FW,45963054
Wilfred Ndidi,"MF,DF",6b47c5db
Ademola Lookman,"FW,MF",7c104bb7
Jonny Evans,DF,f8fcd2a5
Kelechi Iheanacho,FW,c92e1a31
Patson Daka,FW,ca45605e
Ricardo Pereira,DF,75a72a99
Boubakary Soumaré,MF,ae59b359
Nampalys Mendy,MF,1598599e
Marc Albrighton,"FW,DF",b827d5b3
James Justin,DF,fb614c44
Wesley Fofana,DF,132a82f1
Jannik Vestergaard,DF,1900032e
Ayoze Pérez,"MF,FW",819aa8e7
Ryan Bertrand,DF,01226327
Hamza Choudhury,"DF,MF",7d2d3329
Danny Ward,GK,d3ce0e89
Lewis Brunt,MF,a2081c6b
Kasey McAteer,FW,b2c66859
Vontae Daley Campbell,DF,192d4c3d
Eldin Jakupović,GK,1148323a
Benjamin Nelson,DF,7be10897
Dennis Praet,MF,86695068
