name,position,id
Teemu Pukki,FW,0745b37d
Grant Hanley,DF,e9254eec
Max Aarons,DF,774cf58b
Kenny McLean,MF,471f16b3
Tim Krul,GK,f23f9d20
Ben Gibson,DF,bcfb0142
Pierre Lees-Melou,MF,f5044e54
Milot Rashica,"FW,MF",6c6a3300
Brandon Williams,DF,5e74d6c8
Billy Gilmour,MF,df10e27c
Mathias Normann,MF,8996350d
Josh Sargent,"FW,MF",a8d4428b
Dimitris Giannoulis,DF,112c495e
Sam Byram,DF,1bf811d4
Ozan Kabak,DF,2d61d13a
Kieran Dowell,"FW,MF",2f6ec02a
Angus Gunn,GK,e082af5b
Lukas Rupp,MF,3faa1780
Adam Idah,"FW,MF",291e3ec3
Jakob Sørensen,"MF,DF",953c30b0
Przemysław Płacheta,"FW,MF",3c33f9d9
Todd Cantwell,"FW,MF",f63d8a4b
Andrew Omobamidele,DF,c393a6c4
Christos Tzolis,"FW,MF",9f333379
Christoph Zimmermann,DF,2d5f03bf
Tony Springett,"MF,FW",35be8087
Jon Rowe,"FW,MF",8c12f884
Bali Mumba,DF,2d760d7b
Thomas Dickson-Peters,FW,f119a610
Liam Gibbs,MF,e4b6d914
Abu Kamara,"FW,MF",a6fbfa77
Jon McCracken,GK,47188db7
Michael McGovern,GK,51a19d04
Jonathan Tomkinson,DF,4ba27cea
